docid,dirid,keywords,keywords_nouns,ur,topic
485270011,120812,질문하동 관내나 근처의 질 좋고 내신따기 좋은 기숙사등학교 제목같은 학교가 있나요?? 있다면 어디인가요? (그 학교의 장단점도 알려주시면 감사하겠습니다) (기숙사 샤워실은 따로 있었으면 좋겠..),관내 근처 질 기숙사 어디 그 장단점 기숙사 샤워실,rural,4
485069906,120812,질문영월 샛별식당(중식당) 이제 영업안하나요? 제목 그대로입니다. 영월 낚시갈때 들르던 중식당인데 네이버 보니 24년 초반이후 블로그도 없고 정보도 안나오네요 영월갈일이 있어 간김에 짬뽕 먹으려고 했는데... 혹시 현지인분 계시면 좀 알려주세요. 감사합니다,샛별 식당 중식 이제 영업 그대로 낚시 때 중식 네이버 초반 이후 블로그 정보 일이 간김 짬뽕 혹시 지인 계시 좀,rural,2
484685274,120812,질문마을 버스 어떻하지...? 이제 마을버스 운행 안한다고 했는데 나 조금있다 학교랑 학원도가야되는데 어떻하지? 시네 까지 갈려면 필요하는데 우선 내가 학원 쌤한테 오늘 못간다고 했는데 어떻하지? 부모님도 바쁘고 걸어가야 되나?,마을 버스 이제 마을 버스 운행 학원 우선 학원 쌤 부모님,rural,3
484599281,120812,질문여기는 어디일까요? 영월????,어디,rural,4
484506412,120812,질문영월 하송주공 1차 재건축문의 안녕하세요 영월 하송주공 1차가 입지가 좋고 한데요 연식이 오래되어서 매수 고려중이거든요 혹시 재건축이 언제 될까요? 아시는 분 답변 부탁드려요,재건축 입지 연식 고려 혹시 재건축 언제 분,rural,0
484267892,120812,질문아주오래된 건물주가 나타나서  큰밭에 땅을즈며 농사 아주오래된 건물주인이 꿈에나타나 땅을 임대주며 밭농사을 하라고 하는꿈 해봉 해주세요,건물 주가 밭 땅 며 농사 건물 꿈 타나 땅 임대 밭농 하라 꿈 해봉,rural,0
484157990,120812,질문강원도 영월 택시 5월초 쯤에 영월을 갈거같은데요 어라연 주차장(삼옥2리) 쪽에서 영월역까지 택시를 탈수있을까요,택시 쯤 주차장 쪽 택시,rural,5
484092331,120812,질문영월 마차고등학교... 영월 마차고등학교 버스 운영하나요?,고등학교 고등학교 버스 운영,rural,3
485608468,120813,질문상남에 주황색 모자 파는곳 없나요? 제발 주황색 모자 정말 필요한데 창원 상남동에 주황색 모자 파는곳 없나요?,주황색 모자 곳 제발 주황색 모자 주황색 모자 곳,rural,5
485583892,120813,질문서화정류소에서 동서울 터미널까지 몇시간 걸리나요? 대구로 휴가나가야하는데 궁금해서 물어봐요. 버스를 타는 방법이랑 8분밖에 차이가 안나서..,질문서 정류 소 터미널 시간 휴가 버스 방법 차이 안나,rural,5
485037312,120813,질문강원도 전화번호부책자 인제 화천 춘천 지역의 전화번후부책자 배포하는업체 있나요? ???제가 누수일을 하는데.광고 하고 싶어서요,전화번호부 책자 지역 후부 책자 배포 업체 제 누수 광고,rural,3
484665962,120813,질문영화 곤지암 귀신 이분 누구신가요? 귀신역 하신 배우님 궁금합니다.,귀신 이분 누구 가요 신역 배우,rural,4
484450638,120813,질문인제 가서 할만한 거 뭐가 있나요,뭐,rural,0
483910173,120813,질문백담사 고수들만 오세용(?) 일요일즉 내일(2025.04.06) 1.내일 백담사 들어갈수 있나요? 2.내일 셔틀버스 이용 가능한가요? 3.백담사 내일 언제열고 언제 닫나요? 급해요ㅜ 알려주세요ㅜㅜ!,백담사 세용 일요일 즉 백담사 셔틀버스 이용 백담사 언제 언제,rural,5
483847548,120813,질문미리내캠프 내설악을 가는데? 각 숙소마다 와이파이가 있나요?,미리내 캠프 각 숙소 와이파이,rural,2
485428688,120814,질문정선 신동읍 시내버스 시간표 문의 제가 시내버스 타고 정선을 가려는데 시간표에 정선방면 (남면경유) 함백출발 08:50 신동출발 09:00  --- 신동에서 정선 ? 11:50 (고한행) 12:25 (남면환승) ---  신동에서 남면가서 정선가는 버스 탄다 ? 중략 함백출발 18:40 신동출발 18:50 ---  신도에서 정선으로 바로 가는차 ?,시내버스 시간표 제 시내버스 시간표 방면 경유 함 출발 출발 환승 버스 중략 함 출발 출발 바로,rural,5
485202121,120814,질문하이원 댕댕이트래킹 하이원리조트에서 개최하는 2025 댕댕트레킹 은 반려견과 함께하는 국내 최대 규모의 트레킹 행사입니다. 올해로 5회째를 맞이하며 반려인과 반려견 모두에게 특별한 추억을 선사하는 다양한 프로그램이 준비되어 있습니다. dangdangtrekking.com+3스포츠동아+3강원랜드+3 행사 개요 행사명 : 2025 댕댕트레킹 일정 : 2025년 5월 17일 18일 24일 25일 (총 2회) 장소 : 하이원리조트 운탄고도 하늘길 및 마운틴 잔디광장 주최 : 강원랜드 스포츠동아 주요 프로그램 1. 트레킹 코스 코스 선택 : 13K 7K 6K 4K 3K 중 선택 가능 특징 : 반려견과 함께 고원숲길을 걸으며 자연을 만끽할 수 있음 하이라이트 : 운탄고도 케이블카를 이용해 해발 1340m 하이원탑에서 백두대간의 풍경 감상 dangdangtrekking.com 스포츠동아 2. 특별 이벤트 강형욱 훈련사 북콘서트 및 포토타임 : 반려견 훈련과 관련된 유익한 정보 제공 댕댕프리존 : 마운틴 잔디광장에 조성된 반려견 전용 놀이 공간 고한 구공탄시장 연계 프로그램 : ‘댕댕이 콘테스트’ 즉석사진 촬영 이벤트 ‘견생네컷’ 반려견 동반 가능 식당 안내 ‘댕댕이 블루리본’ 스포츠동아 +1 dangdangtrekking.com +1 참가 정보 참가권 구매 : 댕댕트레킹 공식 사이트 에서 구매 가능 참가권 종류 : 일반 참가권 3+1 패키지 등 숙박 안내 : 참가권 구매 시 숙소 예약 가능하며 참가권 미보유 가족 및 지인도 숙박 가능 강원랜드 +2 dangdangtrekking.com +2 dangdangtrekking.com +2 참고 사항 참가자 수 예상 : 약 1만 명의 반려인과 2000여 마리의 반려견 참여 예정 기타 행사 : 하이원리조트는 운탄고도 하늘길을 활용한 다양한 행사를 연중 개최 중 스포츠동아 +1 강원랜드 +1 하이원리조트의 반려견 동반 숙소 하이원리조트에서는 반려견과 함께 편안하게 머물 수 있는 **펫룸(Pet Room)**을 운영하고 있습니다. 특히 마운틴콘도 B동 과 힐콘도 에 위치한 펫룸은 반려인과 반려견 모두를 위한 다양한 편의시설과 서비스를 제공합니다. 네이버 블로그+5반려생활+5dangdangmap.net+5 하이원리조트 펫룸 안내 위치 및 객실 정보 마운틴콘도 B동 펫룸 객실 수 : 총 8개 크기 : 약 40평형 기준 인원 : 5인 (최대 7인까지 가능) 특징 : 넓은 실내 공간과 주방 시설 완비 가족 단위 숙박에 적합 똑소리나게 반려견 키우기 힐콘도 힐펫룸 객실 수 : 제한적 (사전 예약 필수) 가격대 : 143000원 ~ 338000원 (시즌 및 요일에 따라 변동) 특징 : 모던한 인테리어와 쾌적한 환경 제공 하이원 하이원 반려견 동반 정책 허용 마릿수 : 최대 2마리까지 동반 가능 체중 제한 : 8kg 이하의 소형견에 한함 추가 비용 : 반려견 동반 시 1박당 50000원의 추가 정비 비용 발생 하이원 +4 dangdangmap.net +4 hotelpkg.com +4 똑소리나게 반려견 키우기 +3 반려생활 +3 dangdangmap.net +3 제공 품목 반려견 전용 침대 및 쿠션 식기 세트 배변패드 및 배변봉투 실내 안전 펜스 하우스쿠션 다이닝매트 등 dangdangmap.net 하이원 +4 반려생활 +4 dangdangmap.net +4 하이원 ️ 부대시설 및 서비스 산책로 : 객실 인근에 반려견과 함께할 수 있는 산책로 마련 실외 놀이터 : 잔디가 깔린 안전한 공간에서 자유롭게 놀이 가능 곤돌라 탑승 : 반려견과 함께 스카이 1340 곤돌라 탑승 가능 (리드줄 및 가방 필수) 하이하우 클럽라운지 : 반려견 동반 출입 가능한 레스토랑으로 특화된 요리 제공 dangdangmap.net +2 반려생활 +2 똑소리나게 반려견 키우기 +2 강원랜드 예약 및 문의 공식 홈페이지 : 하이원리조트 펫룸 예약 문의 전화 : 1588-7789 주의사항 : 펫룸은 객실 수가 제한되어 있어 조기 마감될 수 있으므로 사전 예약을 권장합니다. dangdangmap.net dangdangtrekking.com ️ 하이원리조트의 반려견 동반 식당 하이원리조트에서는 반려견과 함께 식사를 즐길 수 있는 하이하우 클럽라운지 를 운영하고 있습니다. 이곳은 반려인과 반려견 모두를 위한 특화된 메뉴와 서비스를 제공하는 레스토랑으로 힐콘도 D동 1층에 위치해 있습니다. 하이원 ️ 하이하우 클럽라운지 개요 위치 : 하이원리조트 힐콘도 D동 1층 운영 시간 : 오전 8시 ~ 오후 2시 30분 (마지막 주문: 오후 2시) 특징 : 36년 경력의 5성급 호텔 조리명장이 개발한 반려견 특화 요리 제공 하이원 뉴시스 +1 강원랜드 +1 ‍‍‍ 반려인을 위한 메뉴 황태해장국 곤드레해장국 전복죽 새우볶음밥 다이닝코드 +3 뉴시스 +3 네이버 블로그 +3 모든 메뉴는 신선한 식자재를 사용하여 건강하고 맛있는 식사를 제공합니다. 반려견을 위한 메뉴 야채 퓨레 소스와 수비드 연어 야채 퓨레 소스와 수비드 닭가슴살 닭가슴살 미트볼 단호박 크림파스타 하이하우 수제 리코타 야채치즈 뉴시스 반려견의 건강을 고려한 영양가 높은 수제 요리로 반려견과 함께 특별한 식사 시간을 즐길 수 있습니다. 이용 안내 예약 : 하이원리조트 공식 홈페이지 또는 고객센터(1588-7789)를 통해 예약 가능 주의사항 : 반려견은 리드줄 착용 필수이며 최대 2마리까지 동반 가능합니다. dangdangmap.net 하이원리조트의 반려견 놀이터 및 산책로 하이원리조트는 반려견과 함께하는 여행객을 위해 다양한 산책로와 놀이터를 마련하여 자연 속에서 즐거운 시간을 보낼 수 있도록 지원하고 있습니다. 반려견 산책로 1. 마운틴콘도 C동 산책로 길이 : 약 500m 특징 : 마운틴콘도 C동 일대에 조성된 산책로로 반려견과 함께 안전하게 산책할 수 있도록 설계되었습니다. 파이낸셜뉴스 2. 하늘길 트레킹 코스 위치 : 하이원리조트 주변 백운산 정상에 위치한 산길 특징 : 과거 석탄 운반로였던 운탄고도를 활용한 트레킹 코스로 반려견과 함께 자연을 만끽하며 산책할 수 있습니다. 댕댕여지도 +1 하이원 +1 하이원 반려견 놀이터 1. 실외 놀이터 위치 : 마운틴콘도 앞쪽 특징 : 잔디가 깔린 공간으로 안전펜스가 설치되어 있어 반려견이 자유롭게 뛰어놀 수 있습니다. 반려생활 2. 실내 놀이터 위치 : 마운틴콘도 B동 1층 특징 : 반려견을 위한 실내 놀이 공간으로 날씨에 관계없이 이용할 수 있습니다. 이용 시 유의사항 반려견 동반 정책 : 8kg 이하의 소형견 최대 2마리까지 동반 가능 리드줄 착용 필수 배변 시 즉시 처리 필요 운영 시간 및 이용 가능 여부 : 계절 및 날씨에 따라 변동될 수 있으므로 방문 전 하이원리조트 공식 홈페이지나 고객센터를 통해 확인하시기 바랍니다. 하이원 +6 댕댕여지도 +6 파이낸셜뉴스 +6 댕댕여지도,댕댕 트 킹 하이원리조트 개최 댕댕 트레킹 은 반려견 국내 최대 규모 트레킹 행사 올해 맞이 반려 인과 반려견 모두 추억 선사 프로그램 준비 스포츠동아 강원랜드 행사 개요 행사 댕댕 트레킹 일정 총 하이원리조트 하늘 및 마운틴 잔디 주최 강원랜드 스포츠동아 주요 프로그램 트레킹 코스 코스 선택 선택 특징 반려견 숲길 만끽 하이라이트 케이블카 이용 해발 백두대간 풍경 감상 스포츠동아 이벤트 강형욱 훈련사 콘서트 및 포토 타임 반려견 훈련 관련 정보 제공 댕댕 프리 존 마운틴 잔디 반려견 전용 놀이 공간 구공탄 시장 프로그램 댕댕 콘테스트 촬영 이벤트 견생네컷 반려견 동반 식당 댕댕 블루리본 스포츠동아 참가 정보 참가 댕댕 트레킹 공식 사이트 참가 종류 일반 참가 패키지 숙박 참가 숙소 예약 참가 미보 가족 및 지인 숙박 강원랜드 참고 사항 참가자 약 명의 반려 인과 여 반려견 참여 기타 행사 하이원리조트 하늘 활용 행사 연중 개최 스포츠동아 강원랜드 하이원리조트 반려견 동반 숙소 하이원리조트 반려견 펫룸 운영 마운틴 콘도 과 힐 콘도 위치 펫룸 반려 인과 반려견 모두 편의 시설 서비스 제공 네이버 블로그 반려 생활 하이원리조트 펫룸 위치 및 객실 정보 마운틴 콘도 펫룸 객실 총 개 크기 약 평형 기준 인원 최대 특징 실내 공간 주방 시설 완비 가족 단위 숙박 적합 똑소리 반려견 힐 콘도 힐펫룸 객실 제한 예약 필수 가격 시즌 및 요일 특징 모던 인테리어 환경 제공 반려견 동반 정책 허용 마릿수 최대 동반 체중 제한 소형견 함 추가 비용 반려견 동반 추가 정비 비용 발생 똑소리 반려견 반려 생활 제공 품목 반려견 전용 침대 및 쿠션 식기 세트 배변 패드 및 배변 봉투 실내 펜스 하우스 쿠션 다이닝 매트 반려 생활 시설 및 서비스 산책로 객실 인근 반려견 산책로 실외 놀이터 잔디 공간 놀이 곤돌라 탑승 반려견 스카이 곤돌라 탑승 리드 줄 및 필수 클럽 라운지 반려견 동반 출입 레스토랑 특화된 제공 반려 생활 똑소리 반려견 강원랜드 예약 및 공식 홈페이지 하이원리조트 펫룸 예약 주의 사항 펫룸 객실 제한 조기 마감 예약 권장 하이원리조트 반려견 동반 식당 하이원리조트 반려견 클럽 라운지 를 운영 곳 반려 인과 반려견 모두 특화된 메뉴 서비스 제공 레스토랑 힐 콘도 층 위치 클럽 라운지 개요 위치 하이원리조트 힐 콘도 층 운영 시간 오후 마지막 오후 특징 경력 급 호텔 개발 반려견 특화 제공 뉴시스 강원랜드 반려 메뉴 황태 해장국 해장국 전복죽 새우 볶음밥 다이닝 코드 뉴시스 네이버 블로그 모든 메뉴 식 자재 사용 제공 반려견 메뉴 야채 퓨레 소스 수비드 연어 야채 퓨레 소스 수비드 닭 가슴 살 닭 가슴 살 미트볼 단호박 크림 파스타 수제 코타 야채 치즈 뉴시스 반려견 건강 고려 영양가 수제 반려견 시간 이용 예약 하이원리조트 공식 홈페이지 고객 센터 를 통해 예약 주의 사항 반려견 리드 줄 착용 필수 최대 동반 하이원리조트 반려견 놀이터 및 산책로 하이원리조트 반려견 여행객 위해 산책로 놀이터 시간 반려견 산책로 마운틴 콘도 산책로 길이 약 특징 마운틴 콘도 산책로 반려견 산책 파이낸셜뉴스 하늘 트레킹 코스 위치 하이원리조트 주변 백운산 위치 특징 과거 운반 활용 트레킹 코스 반려견 만끽 산책 댕댕 반려견 놀이터 실외 놀이터 위치 마운틴 콘도 앞쪽 특징 잔디 공간 펜스 설치 반려견 반려 생활 실내 놀이터 위치 마운틴 콘도 층 특징 반려견 실내 놀이 공간 날씨 이용 이용 유의사항 반려견 동반 정책 소형견 최대 동반 리드 줄 착용 필수 배변 즉시 필요 운영 시간 및 이용 여부 계절 및 날씨 하이원리조트 공식 홈페이지 고객 센터 통해 확인 댕댕 파이낸셜뉴스 댕댕,rural,6
483682330,120814,질문kbs 아레나 가는법 kbs아레나로 가야하는데 서산공용버스터미널에서 가는법 있나요 ? 아시는분 자세히좀 알려주세요,아레나 아레나 공용 버스 터미널 분 좀,rural,5
484887469,120815,질문철원여고 어떤가요? 1.기숙사 있는지 궁금합니다 2.유도부 있다고 들었는데 어떻게 들어가나요? 3.내신 따기는 어떤가요?,철원여고 가요 기숙사 도부 가요,rural,3
484785497,120815,질문철원 9경에 대해 #요즘궁금한 철원 9경에 대해 알려주세요. 철원 9경이 어디 어디이고 선정이유와 선정은 어디서 한 것인지 알려주세요. 철원 도피안사가 철원9경에 포함이 되어 있는지 포함되어 있지 않으면 왜 안되어 있는지 알고 싶어요.,경이 어디 어디 이유 것 도피안사 포함 포함 왜 알,rural,4
484785385,120815,질문철원지역 주상절리길에 대해 알려주세요. #요즘궁금한 철원지역 유명 관광지 중 하나인 주상절리길에 대해 알려주세요. 입장료 주소 해설사 여부 주의사항 등,지역 주상절리 지역 유명 관광지 하나 주상절리 입장료 해설 여부 주의 사항,rural,1
484785239,120815,질문철원지역 생태 안보관광 지역 추천 부탁합니다. #요즘궁금한 봄날 가기 좋은 철원지역 생태 안보관광 지역 추천 부탁합니다.,지역 생태 관광 지역 부탁 봄날 가기 지역 생태 관광 지역 부탁,rural,2
484786743,120815,질문철원 지역의 하천에 대해 #요즘궁금한 철원지역을 흐르는 강에 대해 알려주세요. 한탄강 화강 외에 더 있나요? 작은 하천까지도 알려주세요. 철원지역은 철원 오대쌀이 유명한 거 만큼 논 농사에 필요한 물이 많이 필요할 거 같은데... 저수지도 알려주세요.,지역 지역 한탄강 더 지역 쌀 만큼 농사 물이 저수지,rural,3
484786175,120815,질문철원 생창리 생태평화관광지 용양보 #요즘궁금한 철원 생창리 생태평화관광지 용양보에 대해 알려주세요. 관광지 입장료 관광 시간 숙박 및 기타 편의 시설 등,생태 관광지 생태 관광지 관광지 입장료 관광 시간 숙박 및 기타 편의 시설,rural,2
484785438,120815,질문철원 도피안사 문화유산 #요즘궁금한 철원 도피안사에 있는 문화유산에 대해 소개해 주세요. 도피안사는 철원 9경? 철원 8경에 해당하는지도 궁금합니다.,도피안사 문화유산 도피안사 문화유산 소개 도피안사,rural,6
484785339,120815,질문철원 백마고지 위령탑 관광 #요즘궁금한 철원 백마고지 위령탑 관광에 대해 알려주세요. 입장료 여부 관광지에서 볼 수 있는 것 해설사 등,백마 위령 관광 백마 위령 관광 입장료 여부 관광지 볼 것 해설,rural,2
484726722,120815,질문3001번 버스 송우리에서 동송 송우리에서 3001번 버스 타고 동송 가는데 예매 없이 버스카드 찍고 타면 되나요? 아니면 따로 예매를 하고 타야 하는지 궁금해요,버스 버스 예매 버스 카드 예매,rural,5
484450684,120815,질문철원에서 할만한 거 뭐 있나요,뭐,rural,0
484430213,120815,질문여기는 어디일까요? 하트모양 길?,어디 하트 모양,rural,6
484030447,120815,질문포천인가 철원쪽에 뷰 엄청난 다리 어딘지 기억이 안나요 제가 군생활 할때 장갑차 기동훈련 하면서 그쪽 다리 건넜는데 진짜 강이 엄청 넓게 펼쳐져 있고 진짜 태어나서 처음으로 자연을 보고 웅장하다고 느낀 곳이였는데 기억이 잘 안나네요 어딘지 아는분 계신가요 ㅠㅠ,쪽 뷰 다리 기억 안나 제 군생활 때 장갑차 훈련 쪽 다리 처음 보고 웅장 곳 기억 안나 분,rural,6
485161580,120816,질문발왕산케이블카 운영 내일 모레 비오는데 케이블카 안하겠죠..?,산 케이블카 운영 모레 케이블카,rural,2
485038865,120816,질문5월 대관령 양떼목장의 꽃과 나무는 얼마나 피었을까요? 5 월에 대관령 양떼목장을 방문하려고 계획 중인데  꽃과 나무들이 얼마나 피었는지 궁금합니다 . 봄의 초입이라 완전히 만개하지는 않았을 것 같기도 하고  대관령의 기후 특성상 꽃이 늦게 필 수도 있을 것 같아서요 . 5 월의 대관령 양떼목장에서 볼 수 있는 주요 꽃과 나무들의 개화 상태를 알고 싶습니다 . 특히 철쭉 군락지의 상태도 궁금합니다 . 꽃과 나무들이 어느 정도 피어있을까요 ?,떼 목장 꽃 나무 얼마나 떼 목장 계획 꽃 나무 얼마나 봄 초입 개 것 기후 특성 꽃 것 떼 목장 볼 주요 꽃 나무 상태 알 철쭉 군락 상태 꽃 나무,rural,5
484857189,120816,질문육백마지기 올라가는길 아직도 안좋나요? 옛날에 갔을때 Y자 풍력발전기 갈라지는곳 부터인가 흙길 비포장길 군데군데 큰 웅덩이 파이고 경차는 바퀴 다 터지고 길이 너무 안좋던데 요즘도 그런가요?,마지기 옛날 때 자 풍력 발전기 곳 부터 흙길 포장 군데군데 웅덩이 파이 경차 바퀴 길이 요즘 가요,rural,5
485012823,120817,질문홍천 비발디오션월드 홍천에 있는 오션월드 놀러가는데요 샤워장 시설은 어떡해 되어있나요?칸막이로 있나요 아니면 목욕탕 처럼 뚫려있나요ㅠㅠ?다같이 씻나요..? 친구랑 같이가는데 목욕같이하는건 좀 그래서요ㅠㅠ 탈의장은 목욕탕처럼 되어있어서 갈아입는거겟죠ㅠㅠ,비발디 오션월드 오션월드 샤워 시설 칸막이 목욕탕 처럼 친구 좀 탈의 목욕탕,rural,1
484787677,120817,질문홍천 대명비발디 인근 반려동물 동반 펜션 식당 추천 #요즘궁금한 반려동물과 함께 갈 수 있는 홍천 대명비발디 인근의 반려동물동반 펜션과 식당을 함께 운영하는 곳 있으면 추천해 주세요. 펜션과 식당을 같이 운영하고 풍경 좋고 리뷰 좋은데 알려주세요... 5월에 가족과 함께 가려고 합니다.,비발디 인근 반려동물 동반 펜션 식당 반려동물 비발디 인근 반려동물 동반 펜션 식당 운영 곳 펜션 식당 운영 풍경 리뷰 가족,rural,0
484869704,120817,질문서면역에 짐 짐을 맡길만한 곳아 있을까요 들고다니기 벙거로워서요 ㅠㅠ,짐 짐 곳 벙거로워서,rural,0
484822926,120817,질문서면 할거리 고등학생인데 이번에 서면으로 놀러갑니다 서면 할거리 좀 알려주세요!,질문서 고등학생 이번 좀,rural,2
484787553,120817,질문봄철에 가기 좋은 홍천 관광지 #요즘궁금한 봄철에 가족이 놀러가기 좋은 홍천 관광지를 추천해주세요.,봄철 가기 관광지 봄철 가족 가기 관광지,rural,2
484786586,120817,질문홍천강에 대해서 #요즘궁금한 홍천강에 대해서 소개해 주세요. 발원지 전체적인 길이 홍천강변의 관광지 홍천강변 추천 식당 및 숙소 등에 대해 알려주세요.,소개 발원 전체 길이 강변 관광지 강변 식당 및 숙소,rural,2
484690275,120817,질문월미도 돈 친구들하고 월미도 테마파크 가는데 돈 얼마 챙길까요,월미도 돈 친구 월미도 테마 파크 돈 얼마,rural,1
484668024,120817,질문서면 어썸 술집 전화번호 아시는분... 서면 어썸 술집 전화번호 아시는분 아무리 찾아도 안나오네요,질문서 어썸 술집 전화번호 분 어썸 술집 전화번호 분,rural,2
484025199,120817,질문서면 괜찮은 남자 미용실 추천좀요 생직모라서 머리가 잘 뜹니다 그래서 보통 옆에 투블럭하다가 다운펌 하고있고 앞머리는 필리스나 가일 하려구 합니다 잘하면서 가격 합리적인곳 있을까요 바버샵은 가격대가 엄청 쌔더라구요 커트 다운펌해서 3만원 안쪽으로 생각하고 있습니다,질문서 남자 미용실 좀 생직 라서 머리 옆 투 블럭 펌 앞머리 필리스 가격 곳 바버샵 가격 쌔 커트 펌 안쪽 생각,rural,5
483860447,120817,질문강원도 홍천군 마스코트... 강원도 홍천군 마스코트 무궁이 은퇴했나요?,마스코트 마스코트 무궁 은퇴,rural,1
485037335,120818,질문강원도 전화번후부 책자 인제 화천 춘천 지역의 전화번후부책자 배포하는 업체 있나요? 제가 누수일을 하는데.광고 하고 싶어서요,후부 책자 지역 후부 책자 배포 업체 제 누수 광고,rural,3
485037325,120818,질문하남교산을 넣을려고 하는데 남편이 소득이 있어서요 특공은 놓쳐서 못했고 일반공급 신생아로 넣을려고 하는데 남편 소득이 한 130% 정도 되면 못 넣으나요??,남편 소득 특공 일반 공급 신생아 남편 소득 못,rural,1
484962305,120818,질문배우자 1주택자인데 하남 교산 일반공급 청약 가능할까 배우자가 인천에 1주택 있습니다. 저는 무주택인데 하남 교산 일반공급이면 청약 가능할까요??,배우자 주택 일반 공급 청약 배우자 주택 무 주택 공급 청약,rural,1
484691569,120818,질문하남 교산 푸르지오 가격 어떻게 생각하시나요? 부동산 고수님들 경기도 광주에 사는 남자1 입니다 이번에 청약을 고민중인데 교산 푸르지오 넣을까 고민중이에요 무주택 30년 넘었고 자산은 1억5천정도 가지고 있는데 물론 대출은 많지만 장기적 관점으로 볼때 진입 어떻게 생각 하시나요?,푸르지오 가격 생각 부동산 남자 이번 청약 고민 푸르지오 고민 무 주택 대출 관점 볼때 진입 생각,rural,1
484503335,120818,질문강원도 화천에 자동차 키 제작 업체 강원도 화천 쪽에 자동차키 (스미트키 )제작 출장 업체 있나요??,자동차 키 제작 업체 쪽 차키 스 미트 키 제작 출장 업체,rural,1
484472142,120818,질문하남 맛집 알려주세요,맛집,rural,0
484084401,120818,질문하남에 마라샹궈 맛있는집 추천해주세요 마라샹궈 맛있는곳 추천해주세용 고춧가루같은것들 적게 들어갔으면 좋겠어요..,마라샹궈 집 마라샹궈 곳 고춧가루,rural,0
483937220,120818,질문파크 골프 지금 하남 살고있는데 파크 골프을 취미로 하며 살고 싶은데 하남은 파크골프가 활성화가 안데서 하기 힘들다고하여 춘천은 파크 골프가 춘천 시민이면 누구든 하기 싶다는 소리을 들어서 춘천으로 이사가서 파크 골프 치며 노후을 살고 싶은 70대 인데 정말 내가 들은데로 춘천은 파크 골프 치며 살수가 있는지요,파크 골프 파크 골프 을 취미 살 파크 골프 활성화 파크 골프 시민 이면 누구 소리 을 사가 파크 골프 치 살 파크 골프 치 살수,rural,3
